"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"Bulk_0074",0.00283788108362059,0.366429233277518,0.0301992545938661,0.0020774358648334,0.030835938713431,0.00488635113333733,0.493921735515477,0.0622834813090781,0.00652868850883875
"Bulk_0075",0.00225470439776926,0.0134669452770443,0.0419625335202452,5.47648813448974e-20,0.101841972022232,0.000508823248024001,0.00108257124558672,0.838882395404228,5.48848709991116e-08
"Bulk_0076",0.352839717642948,0.00649519630161789,0.27566257763332,0.018151686936228,0,0.000611162804222629,0.0181851278288584,0.317733956044108,0.010320574808697
"Bulk_0077",0.0155986521248712,0.00215408046671158,0.340879256462188,0.27598738178233,1.28665326562954e-07,0.004056552622146,0.0167888564283481,0.341790414930032,0.0027446765180462
"Bulk_0078",0.0205330154990931,0,0.00252020348423986,0.303078356999371,0.00617006993055679,0.658603512578743,0.00146081170811144,0.00711507876376179,0.000518951036122599
"Bulk_0079",0.00633891348917214,0,1.62605534822214e-21,0.141732409320219,0.486642665826163,0.00132490020438535,0.290487776215759,0.0652491730394856,0.00822416190481531
"Bulk_0080",0.00528033601122064,0.000275402658238672,0.000860828128514924,0.00572677893126211,0.012312245942643,0.00767915568634518,0.00336614901178979,0.964329664433857,0.000169439196128195
"Bulk_0081",0.719171357892358,0.002379604784518,0.0393100558575044,0.00641188374724122,0.0188495320608069,0.0018042296728931,0.127370694735309,0.0837811504287446,0.000921490820624232
"Bulk_0082",0.0148430195876071,0.208447248420292,0.39751526456613,0.0334880794874092,0.0863682495165525,0.00607560347466247,0.0307758823610998,0.205855466222605,0.0166311863636416
"Bulk_0083",1.05533661239335e-08,0.0337902086049904,0.174673261561233,0.0172490460276371,0.729241819384874,0.00126025304272386,0.02367690565474,0.011584407817888,0.00852408735254707
"Bulk_0084",0.0235238552036955,0.000413611025251244,0.00169663700112863,0.00312103172615863,0.017320599349873,0.000702653048255708,0.00463315862967631,0.943337950998929,0.00525050301703206
"Bulk_0085",0.00204898540024078,0.164254748004313,0.299058962474112,0.0596634382496512,0.370136331410719,0.00242707753731561,0.0280471273508997,0.00486649084037235,0.0694968387323763
"Bulk_0086",0.0166715278159651,0.00734729157294309,0.133433313519565,0.00984898833264817,0.514712500705816,0.00411162809025533,0.104223405523486,0.00456618858855276,0.205085155850768
"Bulk_0087",0.0105186093231011,0.164203914818641,0.0172885124403314,0.0952224225079882,0.0369857243348779,0.0239298776838263,0.140883792783548,0.343590313811577,0.167376832296109
"Bulk_0088",0.0875393512615252,0.319585655040967,0.178501817876012,0.0735272661719544,0.0505296813532197,0.266438810504958,0.011418677085541,0.00760605443349165,0.00485268627233164
"Bulk_0089",0.0990360781723335,0.00183361474181841,0.00384401443330952,0.0119385116297571,0,0.282940236856926,0.0144196490065308,0.58121249469754,0.00477540046178417
"Bulk_0090",0.157961604138548,0.114478234387602,0.143777756714829,0.0951013851833732,0.0186382727734599,0.0755334534002527,0.118474935536886,0.0565846975146447,0.219449660350404
"Bulk_0091",0.00873341624945555,0.000569754292995151,0.00264341315157533,0.0468829422166747,0.0318180351425437,0.245016753955541,0.00388603028207903,0.651752274523966,0.00869738018516916
"Bulk_0092",0.0180429565473141,0.00375461523719241,0.151437451933528,0.478865335571945,0.0153473072345844,0.00405755842050146,0.015570142431371,0.295671733703455,0.0172528989201078
"Bulk_0093",2.56356742927386e-07,0.0379601355461643,0.0536242366722374,0.294659497589227,0.00464165067793342,0.134029941487771,0.0937932970790314,0.364964722773628,0.0163262618172644
"Bulk_0094",0.385286772708453,0.0219913970083037,0.214356742347943,0.00887902614794158,0.1023691930036,0.0035790130462569,0.258145326680694,0.000859805966834054,0.00453272308997409
"Bulk_0095",8.51362305025076e-08,9.39928097157388e-09,0.0464504351369093,0.0205678405114411,0.140133509668908,0.0225198275953609,0.00186505648666835,0.754552631258525,0.0139106048066755
"Bulk_0096",0.0162348447148961,0.0213394600088375,0.234502242282705,0.00208335167711814,0.55079198324219,0.0246671794709118,0.134403359576133,0.0150263024748263,0.00095127655238238
"Bulk_0097",1.06511136331619e-14,0.0322188601797479,0.725068069772051,0.0217689036721203,0.0189423201270168,0.0173274302472404,0.17407746528165,0.00294837156850428,0.00764857915165879
"Bulk_0098",0.0167503709841042,0.0316315938359389,0.279783750928145,5.4367779716987e-08,0.0202628142526985,0.0226896256966257,0.0564865970381147,0.571350988921301,0.00104420397529205
"Bulk_0099",0.106864942617429,0.0127639720080602,0.330521062960244,0.0382821108178159,0.331604910018053,0.00295807398262135,0.0921447301245691,0.0290513388046693,0.0558088586665385
"Bulk_0100",0.134670571629093,0.0582542495058768,0.00160990653262892,0.0248144806454738,0.544193444053188,0.00497925238955549,0.172366047136365,0.0495483776376167,0.009563670470202
"Bulk_0101",0.0591066755308603,0.556973888592265,0.258223787583545,0.00546261548682952,0.0356192198280456,0.00916413283877786,0.0691202035539798,0.00383533137066249,0.00249414521503462
"Bulk_0102",0.211362646765786,0.00861880221928764,0.194122267681747,0.0219628127242899,0.0250145656784091,0.0228223764798969,0.489447304279672,0.0158977715711822,0.0107514525997295
"Bulk_0103",0.00754966375318572,0.00961509890923259,0.47008138026857,0.0244329660116709,0.416833295101863,0.00834157952731974,0.00149074917716596,0.0592255976578745,0.002429669593118
"Bulk_0104",0.01061503439048,1.25877625572583e-08,0.012728922608153,0.272361461882657,0.037200150178871,0.0512930457893376,0.140632796235215,0.471915037806161,0.0032535385213628
"Bulk_0105",0.00406338345893055,0.00042703730358214,0.0101277441511084,0.292638763426109,0.562047388636258,0.00338034359343829,0.0600949725175643,0.0555413299085539,0.0116790370044554
"Bulk_0106",1.07622406010069e-06,0.0187289434482382,0.0213630957572546,0,0.116767604153939,0.0204789301705716,2.55082918631492e-07,0.822659986622922,1.08540095689586e-07
"Bulk_0107",6.22221654347715e-08,0.107837005554593,0.0236034346938683,0.00706753823452665,0.409728047428858,0.0490370225388305,0.250053660883012,0.00716948267967212,0.145503745764474
"Bulk_0108",4.32166109994217e-20,0.564258721049547,0.172236669512398,0.040258045188047,0.0304400850403379,0.00414230517878079,0.0762532481326305,0.00626068497475047,0.106150240923508
"Bulk_0109",0.261911235023504,0.0207354962791778,0.220557533114171,0.215357905076792,3.22963525907039e-10,0.0288531339945865,0.0979477237128756,0.0130870224021184,0.141549950073811
"Bulk_0110",4.05937841573839e-07,0.00522032930416365,0.395623896997993,0.00425526508063083,4.89616138979072e-21,0.179265026747659,9.25133422858675e-21,0.415635040667165,3.52645471321003e-08
"Bulk_0111",0.0619650762617123,0.0218890517967267,0.00313007386181029,0.0554413005299874,0.283540818685542,0.00652525658852906,0.154862820764417,0.230101639824289,0.182543961686987
"Bulk_0112",6.87206725131709e-08,0.0128052057795161,0.0693732820652979,0.401459137287268,4.33318579515239e-08,0.00459118846075099,0.174925419629381,0.0365626934397825,0.300282961285473
"Bulk_0113",0.044269760796349,0.0135053998892466,0.00482432122907674,0.000251890320119129,0.141713426883614,0.150795145411091,0.0918556484071836,0.400438920511525,0.152345486551795
"Bulk_0114",1.34889542995952e-10,1.52135338378391e-11,0.373577792098802,0.214416857454015,0.0487425412575369,0.316008161516456,0.0264664675982737,0.0088163521955178,0.0119718277292958
"Bulk_0115",0.145704847120796,0.016059533575654,0.00252301614536908,0.215054934656892,0.308177710833234,0.0155629940445767,0.144588482229235,0.146057694490008,0.00627078690423486
"Bulk_0116",8.43686118634301e-08,0.111271722352778,0.0257985298368434,3.59373897244974e-08,0.018004594725627,0.246846476915497,0.140732156649952,0.378335268120306,0.0790111310929945
"Bulk_0117",6.62560742463231e-07,0.0333826488938398,0.211992439094362,0.0130802910761914,8.12537791758905e-07,0.00144135741805157,0.00859448061912066,0.729914104971343,0.00159320282855669
"Bulk_0118",0.00339367970006013,4.45624375930391e-20,0.000663933192321604,0.0671381615942068,2.1175802410237e-19,0.696764424481006,0.0119715202762046,0.220068231052024,4.97041774744808e-08
