variant,scenario,cell_type,r,bias,var_ratio,rmse
v3_irwls,titration,Myeloid,0.9726182121577303,0.019736556439420457,1.3328777576180277,0.02878338790149361
v3_irwls,titration,Normal_Epithelial,0.5728330698001652,0.1414438253199374,1.2295131288122438,0.15981669777124938
v3_irwls,titration,PVL,0.9613179904298622,-0.015638252620851802,0.5647486085544139,0.02822056914596608
v3_irwls,titration,Plasma,0.9883658934024374,-0.0022181203391442622,0.7878364541013596,0.01624590950065858
v3_irwls,titration,T_cells,0.9852868867679601,-0.03778062166318122,0.2321728497999103,0.06439925619765849
v3_irwls,uniform,B cell,0.948131259247422,-0.05017735651531826,0.23142819373211293,0.0733770826697347
v3_irwls,uniform,CAF,0.9785632107957132,-0.007925292539358402,0.6336263012485133,0.03188673510411888
v3_irwls,uniform,Endothelial,0.9783189254423689,-0.004100611239076424,0.8910499198858804,0.021653426585670914
v3_irwls,uniform,Malignant,0.9810187716796164,0.003466090885513236,0.49469048371434365,0.034917996108901186
v3_irwls,uniform,Myeloid,0.9862019503499981,0.04361578542485358,1.421605301090366,0.05205140024170944
v3_irwls,uniform,Normal_Epithelial,0.9272105752652965,0.08661486753048062,1.8889526128350724,0.10491667679958913
v3_irwls,uniform,PVL,0.9651739554161974,-0.015178367260220513,0.6505905066524766,0.030541661624913292
v3_irwls,uniform,Plasma,0.9822850806901423,-0.0021930835292356217,0.8628690981673454,0.019742064117557193
v3_irwls,uniform,T_cells,0.9762880613554852,-0.0541220327576382,0.27185839366423536,0.07345800804321842
v3_irwls,sparse,B cell,0.9443071583573136,-0.035798419799453224,0.3065122373008019,0.08795762686115854
v3_irwls,sparse,CAF,0.9784834531376877,-0.0035463348569902443,0.6789749602401692,0.038622485977791
v3_irwls,sparse,Endothelial,0.9879825676253434,-0.006564143219071614,0.8097735604362818,0.02979720883051082
v3_irwls,sparse,Malignant,0.9751554251637014,0.0028734888313310674,0.4729713072914458,0.06443065616452776
v3_irwls,sparse,Myeloid,0.9878505613698537,0.03342473551793602,1.2151280791217454,0.04854844022927954
v3_irwls,sparse,Normal_Epithelial,0.9145360722647602,0.07431561184528108,1.3975509803484083,0.10601981089128557
v3_irwls,sparse,PVL,0.9725807708426691,-0.010740732679273248,0.7321680600186402,0.041642685934765916
v3_irwls,sparse,Plasma,0.9869178244402554,-0.010555206148333322,0.7328157837297562,0.03649303529336267
v3_irwls,sparse,T_cells,0.9687373005830177,-0.04340899949142651,0.36146962452193027,0.08396015705036619
music,tumor_purity,B cell,0.6625267174661573,0.01439662774144716,1.9705196924802932,0.03907410981426014
music,tumor_purity,CAF,0.9669623593644294,-0.002201549426830276,0.4311194087105996,0.014059955256655777
music,tumor_purity,Endothelial,0.9682203853230226,0.012607025699734563,1.5887754667124891,0.01679881607553009
music,tumor_purity,Malignant,0.9606356016202742,-0.26656920727046757,0.45235974417319014,0.2693038044030882
