"","Endothelial ACKR1","Endothelial RGS5","Endothelial CXCL12","CAFs MSC iCAF-like","CAFs myCAF-like","PVL Differentiated","PVL Immature","B cells Memory","T cells CD8+","T cells CD4+","Macrophage","Monocyte","DCs","Myoepithelial","Luminal Progenitors","Mature Luminal","Plasmablasts","Cancer Cycling","Cancer Her2 SC","Cancer LumB SC","Cancer LumA SC","Cancer Basal SC"
"Bulk_0039",2.24980947728256e-08,5.30889674877862e-19,8.99058690211098e-20,0.0331213749867897,0.0214291243920578,0.073054211019042,0.10414509693006,1.91702617209304e-08,8.75091681930562e-08,1.97211314106597e-19,5.44637636119234e-21,0.00264077778247398,0.00139872619340919,0.0214833947023548,0.0724375493479077,0.0140820604112129,0.653392765591805,0,0.000881582338896892,5.43280440696485e-19,0.00193320712646489,1.84248283992853e-22
"Bulk_0040",0.00822578737981105,0.014892589523559,0.00727790376698341,0,0.000133940184641912,0.006878782154502,5.23433681361668e-10,0.241499779243795,0.0228673328050649,0.00939103226321885,0.00371255284718203,0.00547860302394161,0.00162958324255406,0.105791614441362,0.276199926300956,0.107123778610936,0.1470460266095,0.00584346713143867,0.00250512027757785,1.72275031810993e-12,0.0335021796678189,1.19192173782855e-20
"Bulk_0041",0.0557646312457891,0.0533853639606824,0.0401693275565585,0.219992159914313,0.14904885089695,0.0111420234562178,0.047145095382049,0.0654925986978205,0.119085697916067,0.100889845253267,0.0719543148254979,0.0319933321905204,0.0157882899937587,2.82950631035515e-08,0.00161830669742799,5.6907828268002e-21,0.0159021478248258,1.51256565095047e-08,0.000474235409412011,0,4.79916413458193e-09,0.000153730558958877
"Bulk_0042",0,3.03888947606425e-10,0.00369302728100899,0.0568720016638244,0.00163996521256889,0.132621953166534,0.140536677792764,0.0606744975311999,0.0274979315317477,0.0338663131425074,0.0660823115780768,0.0250962981980644,0.0197211959357551,0.0171402256034688,0.0745290353009135,0.0225013415070106,0.00306224253909584,0.0929147588589639,0.0144007653451589,0.1433137933858,0.0598108094667982,0.00402485465485058
"Bulk_0043",0.0600883005561929,0.0361663036503269,0.0501793054981029,0.0121594157229015,0.00587618156893234,2.22468878443893e-11,0.000594136323583771,0.115084321845314,0.304855192809526,0.283337308896878,0.00826503889263423,0.00388375824940365,0.00225263786042703,0.0180520953901346,0.0419313456336287,0.00927511869222772,0.0342376302448804,0.0038385789159737,1.43237028709596e-10,0,0.00992332908344764,9.54251072505986e-21
"Bulk_0044",0.0581418107872558,0.0534835264648559,0.0568874150786903,0.00705169479672753,0.00957255365218243,0,0.00256674279755497,0.198010335002439,0.0601845532148305,0.0629005486691802,0.00196775484425903,0.000188440224870809,0.00437398040844547,0.11246586389468,0.236936863635793,0.113056701707838,0.00657088530316854,0.00260760280455947,0.00173199902737949,5.4968476850788e-19,0.0113007276852913,3.44700599029606e-21
"Bulk_0045",0.00606139370923004,0.0160882952843999,0.0139595179402999,0.0876174577844267,0.0318596253325242,0.0196095257464774,0.0447273459513808,0.0143301888938749,0.0168102878861095,0.00221734780748724,0.170892601404286,0.0845993005510468,0.0173853538549436,1.58483106610872e-20,0,0,0.472610317834992,0.000196103763359872,0.00103533112410358,5.79116311040156e-20,5.13105791105898e-09,0
"Bulk_0046",0.0720243431639829,0.156401283599326,0.113232984602242,0.0367577370732576,0.0255110506303119,0.17349960683523,0.24629239791262,0.0104657104445653,0.00569746784392356,0.00298223388040362,0.0128455588053055,0.0193420287893977,0.000204623786254916,0,0.00855660751343307,0.000383014646048904,0.114655333458674,0,0.000420777101203626,1.80489030777574e-08,0.000727220817576423,1.04733969756424e-09
"Bulk_0047",0,5.83996247098367e-20,2.41961203517408e-09,0.228499429102506,0.138679988771076,0.0140216981131802,0.0298505501863388,0.0104972595036812,0.17503757486825,0.170127082385378,0.0294476994840658,0.00959737624696189,0.0150438266421107,0.0391852358215814,0.0846067402375013,0.0403266762982823,0.00268172858028647,0.00517716809380855,2.05149315436537e-09,2.61253226406679e-19,0.00721996119388622,6.59999669038895e-21
"Bulk_0048",6.11956945983241e-09,2.9649799308361e-20,8.65518797848346e-10,0.0178751122065503,0.00674856633046957,0.00910160815803365,0.013870490961905,0.589112043287505,0.0451679545007997,0.0235790908802967,0.00234865416541096,0.00568162966678535,0.00122249794191872,0.00506288044753869,0.018551384513932,0.0111999412752559,0.241882394823927,6.14912929602097e-11,0.000721089980018547,0.000695338194608281,0.00717931561846515,4.39107145442216e-20
"Bulk_0049",9.59683446538137e-10,0,0,0.0875608693056458,0.0361161914678969,1.92956792317319e-09,0.00584865566353341,7.01497836143585e-19,1.82459390246269e-21,0,0.000316678136621323,5.63593434731771e-09,0.00180913270445924,0.0361861574206319,0.0916789889945221,0.0365191331947395,0.676414508301775,9.13710198457231e-10,0.00191187580284373,0.00394991794155052,0.0216878816268844,6.5721404697856e-20
"Bulk_0050",2.53060884649544e-07,7.33394120009497e-21,0,0.00123607014702407,0.00208985854126993,0.0976304490059874,0.22847388864958,1.5407912976698e-08,0.0286635134347158,0.00835456619115595,0.188364201013807,0.108772915367802,0.0514261008715704,0.0388442093541773,0.164357376261086,0.0415802111631934,0.000157619050415588,1.5844179120786e-12,0.00253359950387715,0,0.0375151529739557,9.7799594598295e-20
"Bulk_0051",0.0378337099718933,0.0774705982197302,0.0289255810215564,0.0135594200018891,0.00644086296780288,0.121532121882899,0.222330965417614,0.11309203470799,0.0113181709302339,0.00276463184735469,0.118166062165109,0.0699402487839551,0.0214724828817865,0.00762238315244337,0.062470634639515,0.0343236305998271,0.0055288084138984,0.000589592941584819,0.00336616307993505,0.0074645242413448,0.0337873721316373,1.04733338074028e-20
"Bulk_0052",0.133500134445596,0.176568380400001,0.102327438595294,0.0203548937982362,0.00663991039112389,4.67452027411902e-20,6.56435554529282e-08,0.0294296870935229,0.00266690752447451,0.102536307367947,0.0365175305426523,0.00864248925519599,0.0347943118601037,3.41287413773094e-19,0.0770679185966784,0.0199305683388822,5.04934168807942e-12,4.40553858524911e-09,0.0557261018083545,0.110413235310731,0.082884114617063,0
"Bulk_0053",3.82700478101235e-09,0,1.7315703965526e-08,0.211879776129429,0.0853578223649707,0.0649308278257261,0.153052580706702,2.33037279054942e-08,0.0913065076674228,0.0544987036234465,0.00238940822467914,0.00962055291920898,2.32977110610366e-08,0.00692196860084044,0.0263108970576111,0.00261562447567977,0.28456306864385,2.57893154407319e-11,0.00177060908570356,0,0.00478158490479332,0
"Bulk_0054",0.122117298825418,0.136528792913506,0.123667790498719,7.94188417246829e-09,0.00251786296328378,0.0824111063792119,0.150575949010879,2.75828948174378e-20,0,0.000490032025629341,0.163181686990247,0.11434529224366,0.00990343424872717,1.24381041888887e-19,0.0253939523522457,0.00531543204372964,0.0268482902996249,6.95404813110137e-10,0.010603588377734,0.0214439053823444,0.00465557680775171,0
"Bulk_0055",0.00840488005498668,0.0156627787544823,0.0131295320561268,0.00573764276846898,0.00745014315756605,0.00446470386621002,0.0119997852309234,0.727177861083168,0.0162234665121242,0.00930084049794471,0.0280812676799251,0.0144111588864264,0.00522273321003303,0.00492290733254519,0.00622781001588245,0.0034575830774801,0.118023700111994,0.000101205688389895,1.62767672266798e-21,1.93583238395723e-12,1.0426699556973e-11,2.9601103409746e-12
"Bulk_0056",0.00970365904962709,0.00383209178239352,0.000872018190295912,2.06417817997298e-20,0.000482891592536222,0.00202552382507274,0.00161542397141568,9.83489551858197e-20,2.13345626359362e-07,3.77355965856835e-19,0.00463747567369253,7.46524305922703e-08,0,0.016788284869797,0.0559330354594581,0.0227893206018946,0.860710153704177,6.81283677824761e-09,0.00280768482139118,8.6658584843562e-08,0.0178020549887698,0
"Bulk_0057",0.0314030604599353,0.0248757598821349,0.0382570399920488,0.00304203962000747,0.00313726726411981,1.79767178695188e-08,6.58814150522492e-20,0.0226752968310626,0.10383236847716,0.0697489925020115,0.0194678853210996,6.95965649384051e-10,0.00235712765459019,8.91492815350101e-08,0.00269662565141205,0.00449490228604195,0.667923848696051,4.1960482112371e-10,0.0060875232366454,4.37498192343351e-08,1.1013429027818e-07,1.04101976263342e-19
"Bulk_0058",0.0027068715299704,0.000675016098292415,0.0019087029456777,1.6424143571582e-20,0,0.00194106634576245,0.00795010987777668,3.23997433145487e-18,2.14825399444854e-07,6.97412536434896e-19,0.0264541209637248,0.0109918676870368,6.59513986347474e-08,0.0178761885531143,0.0523160942916164,0.0179230391382803,0.849118334862952,0.000118570878268463,0.00165808719906295,3.14629898640308e-09,0.00836164570536677,0
"Bulk_0059",0.00213071139780857,0.0068194736361988,0.00483421631315205,0.0463795733250096,0.0226649765777453,0.131901780964012,0.152808732340442,0.0627073695208374,0.0716654026383898,0.0919661654909807,0.108990432199115,0.0350348718241386,0.0252245673534653,0.00720792497314888,0.0476854962887326,0,0.00204344548412713,0.0536362943978211,0.00882105229846294,0.0841225427305396,0.0307249615622524,0.00263000868362033
