                    p.Moran_I  p.Moran_Z  p.Moran_P  p.Moran_Padj
CYR61_ITGB2          0.050387  10.580734   0.000999      0.004740
LTB_TNFRSF1A         0.050046  10.572595   0.000999      0.004740
ADAM9_ITGB1          0.049660  10.642403   0.000999      0.004740
CALM2_INSR           0.049647  10.527907   0.000999      0.004740
COL5A2_ITGA1         0.049571  10.558591   0.000999      0.004740
BTLA_TNFRSF14        0.049242  10.822650   0.000999      0.004740
GNAS_ADCY9           0.049094  10.410047   0.000999      0.004740
TGFB1_TGFBR3         0.049042  10.471356   0.000999      0.004740
LAMA5_ITGB1          0.048023  10.158860   0.000999      0.004740
ARF1_INSR            0.048008  10.109767   0.000999      0.004740
ALOX5AP_ALOX5        0.047995  10.235535   0.000999      0.004740
PLAU_ITGB1           0.047990  10.460469   0.000999      0.004740
MMP9_ITGAM           0.047764  10.200573   0.000999      0.004740
PGF_NRP2             0.047564  10.109581   0.000999      0.004740
FBN1_ITGA5           0.047473  10.038621   0.000999      0.004740
SELPLG_ITGAM         0.047148   9.699121   0.000999      0.004740
CD34_SELP            0.046558   9.474871   0.000999      0.004740
B2M_KIR2DL1          0.046403   9.678592   0.000999      0.004740
CDH1_IGF1R           0.046271   9.716109   0.000999      0.004740
PLAU_ST14            0.046055   9.579404   0.000999      0.004740
VEGFB_NRP1           0.045967   9.634393   0.000999      0.004740
FBN1_ITGAV           0.045831   9.705543   0.000999      0.004740
SPP1_ITGA5           0.045637   9.483159   0.000999      0.004740
CALM1_HMMR           0.045634   9.799319   0.000999      0.004740
DHH_HHIP             0.045592   9.936221   0.000999      0.004740
MMP2_SDC2            0.045570   9.447211   0.000999      0.004740
VEGFA_RET            0.045552   9.228817   0.000999      0.004740
COL2A1_ITGB1         0.045079   9.685857   0.000999      0.004740
CCL21_CXCR3          0.045055   9.715115   0.000999      0.004740
CALM1_PTPRA          0.044942   9.618093   0.000999      0.004740
LAMB1_ITGAV          0.044852   9.476624   0.000999      0.004740
LAMB3_COL17A1        0.044593   9.204167   0.000999      0.004740
BGN_TLR2             0.044514   9.290148   0.000999      0.004740
MMP9_LRP1            0.044428   9.314114   0.000999      0.004740
GPI_AMFR             0.044246   9.209586   0.000999      0.004740
MDK_ITGB1            0.044041   9.452495   0.000999      0.004740
FARP2_PLXNA3         0.043978   9.528670   0.000999      0.004740
COL11A1_ITGA2        0.043879   9.269832   0.000999      0.004740
FN1_ITGA2            0.043834   9.221141   0.000999      0.004740
COL4A1_ITGA1         0.043811   8.995963   0.000999      0.004740
LAMA4_ITGAV          0.043631   9.647325   0.000999      0.004740
ARTN_GFRA1           0.043576   9.478192   0.000999      0.004740
CXCL10_SDC4          0.043463   9.408144   0.000999      0.004740
ANXA1_FPR3           0.043370   9.105317   0.000999      0.004740
DCN_EGFR             0.043276   9.198163   0.000999      0.004740
ICAM1_ITGAL          0.043147   9.269024   0.000999      0.004740
PKM_CD44             0.042997   8.745824   0.000999      0.004740
PLAU_PLAUR           0.042793   9.345886   0.000999      0.004740
COL5A1_ITGA1         0.042608   9.109951   0.000999      0.004740
PSEN1_CD44           0.042516   8.935508   0.000999      0.004740
UBA52_TGFBR2         0.042047   9.184912   0.000999      0.004740
SELPLG_SELE          0.041812   8.793600   0.000999      0.004740
LPL_LRP1             0.041666   8.591015   0.000999      0.004740
HLA-A_LILRB1         0.041218   8.923081   0.000999      0.004740
TGFB1_ITGAV          0.041202   8.869894   0.000999      0.004740
CCL5_CCR1            0.041197   8.949000   0.000999      0.004740
LTA_TNFRSF1B         0.041008   8.745829   0.000999      0.004740
HLA-C_KIR2DL1        0.040764   8.428511   0.000999      0.004740
ANXA1_FPR1           0.040664   8.529081   0.000999      0.004740
GNAI2_S1PR1          0.040623   8.657449   0.000999      0.004740
EFEMP1_EGFR          0.040129   8.571777   0.000999      0.004740
COL6A1_ITGA6         0.040117   8.631962   0.000999      0.004740
