trial,method,scenario,scenario_desc,r,rho,rmse
85,spacet_v0_none,sparse,Sparse (alpha=0.3),0.882245654680709,0.7723373484192922,0.07795882955451987
85,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.9291347201780596,0.6350968972392494,0.08770790405821437
85,spacet_v1_ratio,titration,Titration (0-90%),0.9051024751602764,0.7444034171475391,0.0779291941574419
85,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.7747855817076021,0.7558800998216657,0.0662022520172361
85,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.8837845201332317,0.7761054931041707,0.07748334696612774
85,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.8790940049360892,0.6575448118831752,0.1101599839152341
85,spacet_v3_irwls,titration,Titration (0-90%),0.871667675941564,0.7789308556392853,0.08916836263584656
85,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.8092790826441003,0.8159534806690085,0.061143095495759664
85,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.9231090542626942,0.832839337106348,0.06431451422958626
85,music,tumor_purity,Tumor Purity (60-90%),0.5984882420781164,0.558302424192716,0.1816176856982954
85,music,titration,Titration (0-90%),0.5968815385347054,0.6278982598156779,0.14682040897735094
85,music,uniform,Uniform (alpha=1.0),0.6939380147641548,0.7275814254009724,0.08055191154477179
85,music,sparse,Sparse (alpha=0.3),0.9062840743121451,0.7937037136857223,0.06984320635164096
85,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.8261326810349169,0.7303718138295945,0.13624220831794853
85,dwls_minor,titration,Titration (0-90%),0.8021674423393532,0.7828015499408723,0.11026739752846293
85,dwls_minor,uniform,Uniform (alpha=1.0),0.8118719954925881,0.8441954142805783,0.06355211500030233
85,dwls_minor,sparse,Sparse (alpha=0.3),0.9151697161621072,0.8625869033072165,0.06695917969620736
86,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.7216098984230516,0.6735698587678064,0.16028681844075007
86,spacet_v0_none,titration,Titration (0-90%),0.7100822159758376,0.7078391005172697,0.1277746197340517
86,spacet_v0_none,uniform,Uniform (alpha=1.0),0.7201231466903956,0.70927211617426,0.07472956510811705
