                     p.Moran_I   p.Moran_Z  p.Moran_P  p.Moran_Padj
CDH1              3.372380e-01   51.071223   0.000999      0.004052
MIF               3.361250e-01   51.023854   0.000999      0.004052
SFRP2             3.360285e-01   50.314185   0.000999      0.004052
HSP90AA1          3.356846e-01   50.539662   0.000999      0.004052
PPIA              3.354921e-01   50.643203   0.000999      0.004052
COX7C             3.348454e-01   51.648263   0.000999      0.004052
HLA-DPA1          3.326196e-01   51.363808   0.000999      0.004052
GALNT6            3.323319e-01   50.955684   0.000999      0.004052
SEC61G            3.311828e-01   49.928002   0.000999      0.004052
S100A13           3.309011e-01   48.427107   0.000999      0.004052
CYBA              3.300080e-01   49.183003   0.000999      0.004052
TMEM150C          3.299134e-01   51.482163   0.000999      0.004052
VIM               3.292617e-01   48.130947   0.000999      0.004052
RPS26             3.288935e-01   47.515603   0.000999      0.004052
HK2               3.281736e-01   50.128540   0.000999      0.004052
COL3A1            3.280347e-01   49.882759   0.000999      0.004052
PRKACB            3.277748e-01   50.461752   0.000999      0.004052
CEACAM6           3.265746e-01   48.962102   0.000999      0.004052
RMND1             3.265516e-01   48.300720   0.000999      0.004052
EFNA1             3.259786e-01   48.578612   0.000999      0.004052
FBN2              3.257291e-01   49.774167   0.000999      0.004052
YWHAZ             3.256877e-01   48.621999   0.000999      0.004052
TMSB4X            3.253008e-01   50.757424   0.000999      0.004052
H2AFZ             3.248547e-01   50.346468   0.000999      0.004052
UQCRQ             3.241366e-01   47.778795   0.000999      0.004052
CTTN              3.233382e-01   47.573239   0.000999      0.004052
ABCC11            3.231993e-01   48.560721   0.000999      0.004052
PTMA              3.228188e-01   47.443230   0.000999      0.004052
KLHDC7B           3.224055e-01   49.360444   0.000999      0.004052
NPM1              3.221003e-01   49.149529   0.000999      0.004052
C16orf45          3.206189e-01   49.145929   0.000999      0.004052
SNRPE             3.203598e-01   48.685744   0.000999      0.004052
CST3              3.200870e-01   50.244932   0.000999      0.004052
FN1               3.199255e-01   48.767380   0.000999      0.004052
CERS2             3.190171e-01   48.661947   0.000999      0.004052
CRAT              3.185351e-01   50.161570   0.000999      0.004052
RPL26             3.180617e-01   47.887081   0.000999      0.004052
IFIT1             3.178384e-01   49.262499   0.000999      0.004052
RERG              3.167268e-01   47.971137   0.000999      0.004052
SLC9A3R1          3.154565e-01   46.145421   0.000999      0.004052
COX17             3.152804e-01   48.837610   0.000999      0.004052
AZGP1             3.148820e-01   48.035727   0.000999      0.004052
CACYBP            3.145221e-01   46.299207   0.000999      0.004052
GPRC5A            3.140904e-01   48.994435   0.000999      0.004052
CGA               3.133175e-01   48.857825   0.000999      0.004052
DSP               3.115454e-01   48.706323   0.000999      0.004052
IL6ST             3.109885e-01   47.083971   0.000999      0.004052
MYL9              3.105612e-01   44.545126   0.000999      0.004052
JCHAIN            3.105422e-01   46.110559   0.000999      0.004052
S100P             3.102967e-01   47.768269   0.000999      0.004052
TYMP              3.093597e-01   47.436737   0.000999      0.004052
LGALS1            3.071681e-01   44.673697   0.000999      0.004052
ANO1              3.071678e-01   47.119469   0.000999      0.004052
EFHD1             3.061139e-01   47.069291   0.000999      0.004052
NPY1R             3.053816e-01   46.720197   0.000999      0.004052
CFB               3.053642e-01   45.768829   0.000999      0.004052
MMP11             3.040605e-01   44.949179   0.000999      0.004052
ESR1              3.030347e-01   47.327054   0.000999      0.004052
CD9               3.029712e-01   45.083827   0.000999      0.004052
IGHE              3.023727e-01   47.696326   0.000999      0.004052
