"","Hepatocyte","Cholangiocyte"
"MRTO4",0.884525981143407,3.6793014952271
"AKR7A3",17.0378770684962,3.9225933203212
"AKR7A2",6.07080869543013,7.8525130577509
"CAPZB",7.61242924193935,12.8380193490067
"NBL1",0.287254927955571,5.19127859054522
"TMCO4",0.28330233653885,1.46748761810178
"OTUD3",0.0998599329506943,0.72361688613531
"PLA2G2A",13.6555431054578,1.05881676627495
"PLA2G5",0.0212844712973665,0.0581809042127051
"PLA2G2D",0.006709694596173,0
"UBXN10-AS1",0.0973927081192923,0.00499733666942203
"UBXN10",0.607179561984554,0.261663430526265
"CAMK2N1",10.1530533744837,15.7931299801725
"MUL1",0.584329632149558,1.06581537886856
"CDA",2.88717403412856,6.65644316768195
"PINK1",2.14707832056856,2.76504920632259
"PINK1-AS",0.00183508798329336,0.0336591879317001
"DDOST",3.82858314501989,10.0283946394521
"KIF17",0.0160316718371324,0.0724564174648944
"HP1BP3",4.28269553661557,10.571711030583
"EIF4G3",0.926691154362517,2.31765840708305
"ECE1",0.924118476821753,2.31037913132011
"NBPF3",0.0935228628889262,0.252417535236632
"ALPL",0.512746996731114,0.104025852504865
"RAP1GAP",0.263966934245102,3.8831311035256
"USP48",1.36195700771251,3.94107056137445
"LDLRAD2",0,0.00499733666942203
"HSPG2",0.455778461720709,6.263015009526
"LINC00339",0.442258899417003,0.870770493967192
"CDC42",10.559603537666,29.8566825939639
"WNT4",0.153911035643406,0.240492870761917
"ZBTB40",0.230698569714209,0.608494113758106
"C1QA",3.28977402523142,1.19929010279736
"C1QC",1.7520451004181,0.503157423790391
"C1QB",3.36715703480603,2.39140969762036
"EPHB2",0.0293208540917763,0.718182243331853
"KDM1A",0.64794935504852,2.6619677525158
"LUZP1",0.648633226431927,2.03053118863592
"LINC01355",0.0798359721472982,0.196020721194818
"HNRNPR",4.13614583459541,10.1689212170755
"ZNF436",0.0602519556914491,0.0567240953075746
"ZNF436-AS1",0.0581553514176585,0.366144908885967
"TCEA3",11.216803407669,7.71232335462136
"ASAP3",0.0740720596786605,0.344434365735195
"E2F2",0,0.0766976448454195
"ID3",1.28043146652395,3.65942539113296
"MDS2",0.113021061072573,0
"RPL11",236.393378147099,308.548994329146
"PITHD1",2.8934927517771,3.75320868467356
"LYPLA2",2.23528020071781,3.22109536760185
"GALE",2.40649391576934,3.07356443993932
"HMGCL",7.11512583044246,3.23525907856826
"FUCA1",1.75613666907608,3.14213597745784
"CNR2",0.0695219021159058,0
"PNRC2",3.38259571544304,5.93243119555822
"SRSF10",4.5530135845677,11.2870880815096
"IL22RA1",0.08834829722625,0.276617929251554
"IFNLR1",0.133984699662139,0.0510103490742973
"STPG1",0.130552711029515,0.792913520028933
"NIPAL3",0.38122053555219,0.983852253649816
"RCAN3",1.32046940007534,1.38449371900222
"NCMAP",0.0628250867855684,1.12390006745388
"SRRM1",7.54558872022854,15.5778555153
"CLIC4",0.915271298404233,3.45720548559575
"RUNX3",2.44631059738199,1.08738137187588
"SYF2",8.6461387297798,17.0631803046068
"RSRP1",4.24158271561763,14.5463422746615
"RHD",0.0120018338802169,0.0355455459298217
"TMEM50A",5.28292211532138,12.5858589582344
"RHCE",0.0834374503304116,0.246518280938194
"LDLRAP1",0.569865660415196,0.635343429247964
"MAN1C1",0.47199010359325,0.0837643931071951
"MTFR1L",1.66777630591231,3.57384765036394
"AUNIP",0.00480752404435076,0.00499733666942203
"PAQR7",0.068006806882561,0.908767890815332
"STMN1",5.08965023574141,11.1667460185154
"PAFAH2",0.392647369573886,0.753614862669358
"PDIK1L",0.135155612878428,0.665302387836274
"FAM110D",0.00262618080269508,0.077081845247803
"ZNF593",6.18563645824348,11.9173750569556
"CNKSR1",0.0205900432171322,1.37197323200279
"CEP85",0.151492581305587,0.463384788484
"SH3BGRL3",28.2487862608253,40.9127595053422
"UBXN11",0.48561952440456,1.46071448943015
"CD52",29.2952292192084,7.6517600876128
"ZNF683",0.42034788263103,0.00997121807901492
"DHDDS",0.558300456036092,1.21874037958805
"HMGN2",20.8698769402174,30.1580706788948
"RPS6KA1",0.583054822088833,0.625273239072883
"ARID1A",1.88373328365654,3.38974452205519
"PIGV",0.434475002520909,0.943612155991094
"ZDHHC18",0.619128252216769,0.587041551204333
"SFN",0.850105273020762,6.65738459826759
"GPN2",0.515901292330444,0.890392351676499
"GPATCH3",0.28357777875813,0.381288365595534
"NUDC",10.0111623693503,17.32382167292
"NR0B2",5.5898215744115,11.1081725356067
"KDF1",0.208280132626251,2.24953282932086
"TRNP1",0.437805545467551,4.01126328182247
"SLC9A1",0.178897348476427,0.945504341843026
"WDTC1",0.848318992506285,1.3911864394956
"TMEM222",0.881217447061546,2.74612335461304
"SYTL1",1.34762930937273,1.1156136366243
"MAP3K6",0.139109309529963,0.582222224831982
"FCN3",1.44983585110778,0.765152562139632
"WASF2",3.00014031012402,9.23328045965016
"AHDC1",0.253470990903731,1.06514814835268
"FGR",0.311015515843854,0.00537122611610453
"IFI6",16.1306548609697,52.9039268987036
"FAM76A",0.615286097890963,1.41507947975589
